A59432230,2013-10-01 10:54:00,5,44786,80.6321761,7.478790558
A59432230,2013-10-01 10:57:00,54,44786,80.6321761,7.478790558
A59432230,2013-10-01 13:18:00,54,44786,80.6321761,7.478790558
A59432230,2013-10-01 13:36:00,104,44786,80.6321761,7.478790558
A59432230,2013-10-01 15:19:00,6,44786,80.6321761,7.478790558
A59432230,2013-10-01 16:11:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 16:20:00,21,44786,80.6321761,7.478790558
A59432230,2013-10-01 16:21:00,45,44786,80.6321761,7.478790558
A59432230,2013-10-01 16:41:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 16:59:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 17:28:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 17:43:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 17:48:00,,44786,80.6321761,7.478790558
A59432230,2013-10-01 18:15:00,31,44786,80.6321761,7.478790558
A59432230,2013-10-01 22:10:00,88,44786,80.6321761,7.478790558
A59432230,2013-10-01 22:41:00,,68924,81.0094668,8.34116931
A59432230,2013-10-01 22:49:00,,68924,81.0094668,8.34116931
A6583568,2013-10-01 06:53:00,1,39113,81.5304873,7.272178982
A6583568,2013-10-01 10:33:00,59,28557,81.40472373,6.894888278
A6583568,2013-10-01 10:59:00,8,27797,81.34184194,6.867938942
A6583568,2013-10-01 15:57:00,0,28557,81.40472373,6.894888278
A6583568,2013-10-01 19:30:00,0,28557,81.40472373,6.894888278
A6583568,2013-10-01 19:33:00,9,28557,81.40472373,6.894888278
A6583568,2013-10-01 19:35:00,112,28557,81.40472373,6.894888278
A6583568,2013-10-01 19:58:00,117,38367,81.59336908,7.245229646
A6583568,2013-10-01 20:28:00,98,28557,81.40472373,6.894888278
A6583568,2013-10-01 21:40:00,102,38367,81.59336908,7.245229646
A92606346,2013-10-01 09:10:00,5,30897,79.87759469,6.984719398
A92606346,2013-10-01 09:10:00,94,30897,79.87759469,6.984719398
A92606346,2013-10-01 09:13:00,21,27131,79.86861158,6.849972718
A92606346,2013-10-01 09:24:00,112,29388,79.85064535,6.930820726
A92606346,2013-10-01 09:49:00,30,29639,79.85064535,6.939803838
A92606346,2013-10-01 09:56:00,68,30897,79.87759469,6.984719398
A92606346,2013-10-01 09:58:00,95,30898,79.8865778,6.984719398
A92606346,2013-10-01 10:23:00,74,29639,79.85064535,6.939803838
A92606346,2013-10-01 10:40:00,83,29388,79.85064535,6.930820726
A92606346,2013-10-01 11:34:00,19,30143,79.86861158,6.957770062
A92606346,2013-10-01 11:34:00,93,30394,79.86861158,6.966753174
A92606346,2013-10-01 11:37:00,111,30897,79.87759469,6.984719398
A92606346,2013-10-01 11:39:00,50,30396,79.8865778,6.966753174
A92606346,2013-10-01 11:47:00,20,29388,79.85064535,6.930820726
A92606346,2013-10-01 11:57:00,113,29388,79.85064535,6.930820726
A92606346,2013-10-01 13:59:00,49,28385,79.85962846,6.894888278
A92606346,2013-10-01 14:01:00,85,28385,79.85962846,6.894888278
A92606346,2013-10-01 14:03:00,85,28385,79.85962846,6.894888278
A92606346,2013-10-01 14:11:00,72,28385,79.85962846,6.894888278
A92606346,2013-10-01 14:42:00,67,28385,79.85962846,6.894888278
A92606346,2013-10-01 15:06:00,10,28385,79.85962846,6.894888278
A92606346,2013-10-01 15:09:00,107,28385,79.85962846,6.894888278
A92606346,2013-10-01 15:26:00,28,28385,79.85962846,6.894888278
A92606346,2013-10-01 16:07:00,54,28135,79.86861158,6.885905166
